ts,open,high,low,close,volume
2025-04-23 00:00:00+00:00,607.8,607.8,607.8,607.8,0.79877
2025-04-24 00:00:00+00:00,607.8,607.8,607.8,607.8,0.32929
2025-04-25 00:00:00+00:00,607.8,607.8,564.65,599.5,1.7644
2025-04-26 00:00:00+00:00,599.5,663.21,599.5,606.21,1.20958
2025-04-27 00:00:00+00:00,608.71,619.72,599.51,611.23,0.82623
2025-04-28 00:00:00+00:00,604.68,606.21,581.26,603.71,1.08524
2025-04-29 00:00:00+00:00,606.21,613.31,600.73,600.73,12.18767
2025-04-30 00:00:00+00:00,600.73,606.2,544.13,555.94,1.19466
2025-05-01 00:00:00+00:00,601.23,615.2,583.68,603.71,7.30491
2025-05-02 00:00:00+00:00,606.21,618.83,598.25,603.21,9.70009
2025-05-03 00:00:00+00:00,598.26,607.68,576.67,593.38,39.21467
2025-05-04 00:00:00+00:00,593.42,613.19,569.71,581.24,1.84629
2025-05-05 00:00:00+00:00,588.96,603.7,588.47,595.79,6.94491
2025-05-06 00:00:00+00:00,601.23,606.01,593.03,597.51,27.94304
2025-05-07 00:00:00+00:00,603.71,644.88,593.62,601.6,41.77973
2025-05-08 00:00:00+00:00,603.65,669.26,603.65,627.1,11.45564
2025-05-09 00:00:00+00:00,620.8,669.99,615.0,667.27,15.1662
2025-05-10 00:00:00+00:00,672.03,678.89,649.68,660.05,10.16406
2025-05-11 00:00:00+00:00,663.76,688.2,650.56,651.95,112.5354
2025-05-12 00:00:00+00:00,658.77,695.74,651.95,663.96,13.27796
2025-05-13 00:00:00+00:00,657.76,669.68,641.01,669.68,41.30125
2025-05-14 00:00:00+00:00,663.21,668.47,649.24,649.24,13.38537
2025-05-15 00:00:00+00:00,655.54,660.72,644.34,645.88,47.57032
2025-05-16 00:00:00+00:00,649.74,660.62,645.74,645.74,2.95223
2025-05-17 00:00:00+00:00,644.65,644.65,636.58,636.74,28.07294
2025-05-18 00:00:00+00:00,640.08,655.58,636.0,651.02,38.79338
2025-05-19 00:00:00+00:00,651.76,653.5,635.36,653.5,152.13442
2025-05-20 00:00:00+00:00,653.73,654.85,641.42,653.17,40.70092
2025-05-21 00:00:00+00:00,653.69,677.74,651.66,673.58,25.2392
2025-05-22 00:00:00+00:00,678.65,690.6,672.6,680.62,11.62097
2025-05-23 00:00:00+00:00,687.15,691.76,655.81,655.81,24.07209
2025-05-24 00:00:00+00:00,661.48,678.58,661.48,668.66,3.40135
2025-05-25 00:00:00+00:00,667.89,672.64,659.1,672.63,3.73778
2025-05-26 00:00:00+00:00,669.12,677.37,669.12,672.0,17.87561
2025-05-27 00:00:00+00:00,671.98,697.1,668.66,691.46,10.46123
2025-05-28 00:00:00+00:00,687.15,689.46,679.67,684.42,14.21461
2025-05-29 00:00:00+00:00,689.43,689.86,674.01,674.01,21.84341
2025-05-30 00:00:00+00:00,674.01,675.31,655.64,655.73,70.08172
2025-05-31 00:00:00+00:00,655.54,660.73,645.65,660.73,28.99053
2025-06-01 00:00:00+00:00,660.4,660.71,649.67,657.76,1.50302
