ts,open,high,low,close,volume
2018-09-04 09:00:00+00:00,3875.0,3887.5,3750.0,3750.0,27216800.0
2018-09-05 09:00:00+00:00,3700.0,3700.0,3500.0,3537.5,64997600.0
2018-09-06 09:00:00+00:00,3500.0,3650.0,3475.0,3637.5,83033200.0
2018-09-07 09:00:00+00:00,3612.5,3700.0,3575.0,3675.0,35350000.0
2018-09-10 09:00:00+00:00,3600.0,3650.0,3562.5,3637.5,35205400.0
2018-09-11 09:00:00+00:00,3637.5,3637.5,3637.5,3637.5,0.0
2018-09-12 09:00:00+00:00,3662.5,3687.5,3550.0,3562.5,35547000.0
2018-09-13 09:00:00+00:00,3600.0,3675.0,3600.0,3675.0,44958800.0
2018-09-14 09:00:00+00:00,3700.0,3762.5,3675.0,3762.5,24322200.0
2018-09-17 09:00:00+00:00,3762.5,3762.5,3600.0,3612.5,22685200.0
2018-09-18 09:00:00+00:00,3650.0,3650.0,3575.0,3612.5,47723200.0
2018-09-19 09:00:00+00:00,3612.5,3662.5,3587.5,3587.5,34212400.0
2018-09-20 09:00:00+00:00,3600.0,3712.5,3600.0,3650.0,30649200.0
2018-09-21 09:00:00+00:00,3712.5,3837.5,3700.0,3825.0,84890600.0
2018-09-24 09:00:00+00:00,3800.0,3812.5,3662.5,3687.5,29753800.0
2018-09-25 09:00:00+00:00,3625.0,3700.0,3625.0,3675.0,12861400.0
2018-09-26 09:00:00+00:00,3650.0,3700.0,3650.0,3662.5,21784800.0
2018-09-27 09:00:00+00:00,3687.5,3762.5,3675.0,3675.0,45618800.0
2018-09-28 09:00:00+00:00,3687.5,3762.5,3675.0,3700.0,27470800.0
2018-10-01 09:00:00+00:00,3712.5,3775.0,3700.0,3750.0,26562800.0
2018-10-02 09:00:00+00:00,3737.5,3750.0,3625.0,3637.5,34934600.0
2018-10-03 09:00:00+00:00,3650.0,3687.5,3625.0,3625.0,24585200.0
2018-10-04 09:00:00+00:00,3600.0,3600.0,3425.0,3450.0,123736000.0
2018-10-05 09:00:00+00:00,3450.0,3487.5,3400.0,3437.5,75743200.0
2018-10-08 09:00:00+00:00,3412.5,3462.5,3387.5,3412.5,48992200.0
2018-10-09 09:00:00+00:00,3412.5,3475.0,3412.5,3412.5,44143600.0
2018-10-10 09:00:00+00:00,3437.5,3487.5,3425.0,3475.0,41122000.0
2018-10-11 09:00:00+00:00,3375.0,3412.5,3337.5,3362.5,60893800.0
2018-10-12 09:00:00+00:00,3387.5,3550.0,3387.5,3462.5,69904800.0
2018-10-15 09:00:00+00:00,3475.0,3562.5,3450.0,3525.0,55786800.0
2018-10-16 09:00:00+00:00,3537.5,3625.0,3525.0,3625.0,54997800.0
2018-10-17 09:00:00+00:00,3675.0,3687.5,3637.5,3662.5,34304800.0
2018-10-18 09:00:00+00:00,3662.5,3662.5,3575.0,3600.0,19334000.0
2018-10-19 09:00:00+00:00,3537.5,3625.0,3537.5,3587.5,31419600.0
2018-10-22 09:00:00+00:00,3600.0,3625.0,3575.0,3587.5,11799000.0
2018-10-23 09:00:00+00:00,3575.0,3612.5,3550.0,3562.5,17643000.0
2018-10-24 09:00:00+00:00,3550.0,3587.5,3487.5,3525.0,24047400.0
2018-10-25 09:00:00+00:00,3475.0,3562.5,3462.5,3537.5,34361200.0
2018-10-26 09:00:00+00:00,3537.5,3575.0,3525.0,3550.0,11779000.0
2018-10-29 09:00:00+00:00,3575.0,3587.5,3487.5,3537.5,9894000.0
2018-10-30 09:00:00+00:00,3537.5,3612.5,3512.5,3587.5,32280200.0
2018-10-31 09:00:00+00:00,3612.5,3687.5,3587.5,3662.5,56326400.0
2018-11-01 09:00:00+00:00,3700.0,3737.5,3662.5,3712.5,64499800.0
2018-11-02 09:00:00+00:00,3750.0,3887.5,3737.5,3887.5,117606000.0
2018-11-05 09:00:00+00:00,3825.0,3850.0,3762.5,3800.0,39611800.0
2018-11-06 09:00:00+00:00,3837.5,3962.5,3837.5,3875.0,54707200.0
2018-11-07 09:00:00+00:00,3900.0,3900.0,3850.0,3900.0,44942000.0
2018-11-08 09:00:00+00:00,3950.0,4037.5,3937.5,3950.0,86107000.0
2018-11-09 09:00:00+00:00,3987.5,4000.0,3925.0,4000.0,58920600.0
2018-11-12 09:00:00+00:00,3912.5,3925.0,3800.0,3800.0,62775800.0
2018-11-13 09:00:00+00:00,3750.0,3975.0,3737.5,3950.0,61796000.0
2018-11-14 09:00:00+00:00,3950.0,4075.0,3950.0,4012.5,77461200.0
2018-11-15 09:00:00+00:00,3962.5,4150.0,3962.5,4125.0,73903400.0
2018-11-16 09:00:00+00:00,4137.5,4275.0,4087.5,4150.0,56912600.0
2018-11-19 09:00:00+00:00,4137.5,4200.0,4125.0,4200.0,31995600.0
2018-11-20 09:00:00+00:00,4200.0,4200.0,4200.0,4200.0,0.0
2018-11-21 09:00:00+00:00,4075.0,4150.0,4075.0,4125.0,65909400.0
2018-11-22 09:00:00+00:00,4100.0,4225.0,4087.5,4200.0,46871200.0
2018-11-23 09:00:00+00:00,4212.5,4250.0,4175.0,4212.5,16390400.0
2018-11-26 09:00:00+00:00,4212.5,4250.0,4175.0,4212.5,29419800.0
2018-11-27 09:00:00+00:00,4162.5,4337.5,4162.5,4325.0,81898400.0
2018-11-28 09:00:00+00:00,4375.0,4375.0,4250.0,4275.0,54515400.0
2018-11-29 09:00:00+00:00,4325.0,4525.0,4325.0,4387.5,90010200.0
2018-11-30 09:00:00+00:00,4325.0,4387.5,4225.0,4250.0,122445000.0
2018-12-03 09:00:00+00:00,4350.0,4425.0,4350.0,4375.0,72859800.0
2018-12-04 09:00:00+00:00,4275.0,4412.5,4275.0,4400.0,37438200.0
2018-12-05 09:00:00+00:00,4300.0,4387.5,4275.0,4375.0,36191200.0
2018-12-06 09:00:00+00:00,4325.0,4337.5,4262.5,4325.0,57573800.0
2018-12-07 09:00:00+00:00,4275.0,4312.5,4225.0,4287.5,39306200.0
2018-12-10 09:00:00+00:00,4225.0,4300.0,4212.5,4287.5,22645600.0
2018-12-11 09:00:00+00:00,4287.5,4300.0,4225.0,4225.0,36969600.0
2018-12-12 09:00:00+00:00,4250.0,4275.0,4212.5,4225.0,45196000.0
2018-12-13 09:00:00+00:00,4225.0,4362.5,4212.5,4275.0,68130200.0
2018-12-14 09:00:00+00:00,4250.0,4325.0,4237.5,4300.0,40382000.0
2018-12-17 09:00:00+00:00,4300.0,4300.0,4225.0,4287.5,42779800.0
2018-12-18 09:00:00+00:00,4275.0,4325.0,4237.5,4312.5,31801800.0
2018-12-19 09:00:00+00:00,4337.5,4362.5,4312.5,4350.0,48642800.0
2018-12-20 09:00:00+00:00,4325.0,4375.0,4312.5,4337.5,29529600.0
2018-12-21 09:00:00+00:00,4300.0,4350.0,4300.0,4337.5,32951600.0
2018-12-24 09:00:00+00:00,4337.5,4337.5,4337.5,4337.5,0.0
2018-12-25 09:00:00+00:00,4337.5,4337.5,4337.5,4337.5,0.0
2018-12-26 09:00:00+00:00,4300.0,4387.5,4287.5,4350.0,25778200.0
2018-12-27 09:00:00+00:00,4400.0,4400.0,4350.0,4400.0,31929800.0
2018-12-28 09:00:00+00:00,4412.5,4412.5,4375.0,4400.0,32431600.0
2018-12-31 09:00:00+00:00,4400.0,4400.0,4400.0,4400.0,0.0
2019-01-01 09:00:00+00:00,4400.0,4400.0,4400.0,4400.0,0.0
2019-01-02 09:00:00+00:00,4400.0,4400.0,4337.5,4362.5,15681200.0
2019-01-03 09:00:00+00:00,4337.5,4387.5,4325.0,4362.5,21416600.0
2019-01-04 09:00:00+00:00,4362.5,4400.0,4337.5,4362.5,41078600.0
2019-01-07 09:00:00+00:00,4412.5,4462.5,4412.5,4437.5,48108200.0
2019-01-08 09:00:00+00:00,4437.5,4475.0,4400.0,4450.0,45945800.0
2019-01-09 09:00:00+00:00,4475.0,4475.0,4412.5,4425.0,50484000.0
2019-01-10 09:00:00+00:00,4462.5,4462.5,4400.0,4425.0,44421400.0
2019-01-11 09:00:00+00:00,4475.0,4487.5,4450.0,4462.5,47217000.0
2019-01-14 09:00:00+00:00,4487.5,4487.5,4425.0,4437.5,26702800.0
2019-01-15 09:00:00+00:00,4437.5,4550.0,4425.0,4500.0,49947400.0
2019-01-16 09:00:00+00:00,4525.0,4625.0,4500.0,4625.0,58089800.0
2019-01-17 09:00:00+00:00,4612.5,4662.5,4575.0,4625.0,47773600.0
2019-01-18 09:00:00+00:00,4650.0,4700.0,4600.0,4700.0,39366000.0
2019-01-21 09:00:00+00:00,4600.0,4687.5,4600.0,4612.5,33397400.0
2019-01-22 09:00:00+00:00,4612.5,4625.0,4587.5,4625.0,42127800.0
2019-01-23 09:00:00+00:00,4587.5,4612.5,4512.5,4525.0,51746000.0
2019-01-24 09:00:00+00:00,4525.0,4537.5,4487.5,4500.0,88315800.0
2019-01-25 09:00:00+00:00,4512.5,4562.5,4500.0,4550.0,51100800.0
2019-01-28 09:00:00+00:00,4550.0,4562.5,4525.0,4550.0,42198000.0
2019-01-29 09:00:00+00:00,4525.0,4550.0,4462.5,4512.5,38083600.0
2019-01-30 09:00:00+00:00,4450.0,4500.0,4450.0,4500.0,40402400.0
2019-01-31 09:00:00+00:00,4500.0,4587.5,4500.0,4537.5,72412200.0
2019-02-01 09:00:00+00:00,4550.0,4662.5,4537.5,4625.0,83559800.0
2019-02-04 09:00:00+00:00,4625.0,4637.5,4550.0,4562.5,45077600.0
2019-02-05 09:00:00+00:00,4562.5,4562.5,4562.5,4562.5,0.0
2019-02-06 09:00:00+00:00,4562.5,4612.5,4550.0,4550.0,39366200.0
2019-02-07 09:00:00+00:00,4550.0,4550.0,4512.5,4537.5,11857200.0
2019-02-08 09:00:00+00:00,4475.0,4525.0,4462.5,4487.5,25850600.0
2019-02-11 09:00:00+00:00,4475.0,4525.0,4450.0,4525.0,29542600.0
2019-02-12 09:00:00+00:00,4525.0,4537.5,4450.0,4450.0,25694400.0
2019-02-13 09:00:00+00:00,4425.0,4450.0,4325.0,4325.0,57993000.0
2019-02-14 09:00:00+00:00,4325.0,4437.5,4325.0,4387.5,34647200.0
2019-02-15 09:00:00+00:00,4387.5,4387.5,4350.0,4387.5,25669400.0
2019-02-18 09:00:00+00:00,4400.0,4525.0,4400.0,4487.5,32794600.0
2019-02-19 09:00:00+00:00,4487.5,4512.5,4412.5,4437.5,17644000.0
2019-02-20 09:00:00+00:00,4450.0,4450.0,4350.0,4412.5,30538000.0
2019-02-21 09:00:00+00:00,4450.0,4475.0,4387.5,4462.5,26466400.0
2019-02-22 09:00:00+00:00,4450.0,4450.0,4325.0,4362.5,59643400.0
2019-02-25 09:00:00+00:00,4387.5,4425.0,4362.5,4400.0,31297800.0
2019-02-26 09:00:00+00:00,4400.0,4437.5,4350.0,4425.0,32625400.0
2019-02-27 09:00:00+00:00,4375.0,4462.5,4362.5,4425.0,19073600.0
2019-02-28 09:00:00+00:00,4462.5,4462.5,4362.5,4400.0,33411200.0
